fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
80,20.05,2.91E-05,0.00E+00,34.15,0.39,0.01,18.62,99.99,22.32,4620187.03/4620187.04/4620187.01,13501,Rosemont-La-Petite-Patrie,45600.18,303.93,2083.18,5,5,7386.66,123.289345,7.830809521,-395066.9162,185593.4413,77.67,391.82
81,66.45,2.70E-05,6.78E-21,29.97,0.4,0.28,0.91,47.6,7.67,4620452,2306.8,Pointe-Claire,52307,616.85,1681.17,20,20,28968.58,207.8242307,2.088111847,-416936.5109,175606.7567,39.93,303.66
82,15.73,2.10E-05,0.00E+00,33.83,0.19,0.14,8.2,45.07,8.63,4620340,3689.6,Montréal-Ouest,79279,493.68,3091.14,15,15,19874.83,371.2936952,0.541734765,-402379.7862,175163.1362,36.44,708.1
83,72.12,3.78E-05,0.00E+00,29.64,0.93,0.25,5.02,11.81,6.6,4620585.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,37647,318.9,1776.7,NA,5,2309.01,71.11513857,1.952097803,-390677.2223,198451.1671,5.21,235.2
84,40.69,2.91E-05,3.39E-21,32.34,0.85,0.03,1.34,32.92,16.23,4620352,6415.9,Westmount,57358,503.81,3261.45,5,5,15567.59,57.90519292,7.863769156,-398733.3137,178212.0154,16.69,209.08
85,10.31,3.26E-05,2.03E-20,34.94,0.15,-0.09,16.15,76.39,9.74,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,5.52,447.95,15,10,4469.64,676.2728631,0,-391713.348,188066.9943,66.65,1040.85
86,99.36,2.28E-05,0.00E+00,24.96,0.13,0.42,0,0,0,4620500,122.4,Senneville,70925,1058.65,649.55,20,20,38424.75,1445.434126,0,-427737.6726,174878.3171,0,2124.94
87,0.37,2.11E-05,5.40E-08,35.35,0.09,-0.2,0.67,100,0,4620094.02,3403,Le Sud-Ouest,NA,0.73,3119.87,15,15,16951.76,400.2374528,0,-398859.8012,176778.6507,100,1520.65
88,8.77,3.02E-05,0.00E+00,35.72,1.1,-0.01,0,50.55,2.58,4620594.02,938.3,Anjou,47581,785.4,4017.22,5,5,2997.68,0,17.62650049,-396574.1023,191746.3147,47.97,0
89,1.43,2.82E-05,0.00E+00,31.9,0.79,0.16,11.83,18.12,0,4620315,295.9,Verdun,NA,130.75,1124.96,15,15,19239.72,121.58267,6.366840223,-398362.9858,174207.0367,18.12,603.58
90,40.96,2.75E-05,0.00E+00,35.48,0.58,-0.14,0,97.9,0.23,4620433,233,Dorval,52476,131.53,2736.4,10,10,23129.81,771.4021201,0,-412606.1121,179557.4317,97.67,2671.67
91,23.13,2.65E-05,0.00E+00,32.31,0.3,0.09,18.45,43.24,0.71,4620460,1492.1,Beaconsfield,94151,2.31,952.18,20,20,32932.11,54.97475291,1.540653094,-420696.68,174013.5861,42.53,1582.92
92,19.98,2.10E-05,0.00E+00,33.45,0.46,0.03,18.98,42.03,17.42,4620100.02,9769.4,Côte-des-Neiges-Nôtre-Dame-de-Grâce,44661,1254.67,4119.36,15,15,18777.9,51.44830415,13.76303838,-402274.3167,176357.5703,24.61,98.49
93,4.26,2.65E-05,0.00E+00,35.56,0.21,-0.18,6.68,95.42,18.82,4620470.01,2037.6,Kirkland,69796,121.54,2376.69,20,20,29467.52,509.5183067,0,-418080.55,176309.9068,76.6,888.18
94,9.29,3.17E-05,6.78E-21,34.38,0.32,-0.07,35.71,72.91,15.46,4620279,5602.8,Ahuntsic-Cartierville,40892,41.85,438.06,10,10,11359.74,41.96483037,25.66121948,-403499.9767,187059.8177,57.45,277.29
95,12.86,2.65E-05,0.00E+00,33.86,0.15,0.06,14.14,29.69,15.09,4620515.03,3442.6,Pierrefonds-Roxborro,67222,861.1,1375.01,20,20,31191.5,66.55428805,9.038451072,-420769.9653,177270.3263,14.6,137.66
96,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,3689.6,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614,-402967.6936,175335.3831,13.94,379.2
97,29.84,2.92E-05,6.78E-21,32.2,1.03,0.07,14.03,37.75,15.21,4620540,4215.1,L'Île-Bizard-Sainte-Geneviève,34702,1195.33,127.18,20,20,29434.87,121.6933069,2.347171358,-420079.4906,179616.8847,22.54,304.72
98,40.21,2.65E-05,0.00E+00,31.54,0.34,0.11,16.03,35.16,18.32,4620462.02,1868.6,Beaconsfield,111247,219.71,1248.99,20,20,33218.14,235.4307766,1.445822149,-421164.887,174175.4266,16.84,1181.65
99,30.83,3.03E-05,6.78E-21,33.19,0.22,0.03,23.58,64.14,24.44,4620072,1386.8,Le-Sud-Ouest,28169,448.08,641.63,5,5,15261.85,45.6417146,20.77000505,-395533.4619,177568.8265,39.7,218.54
100,36.53,3.17E-05,0.00E+00,32.77,0.87,0.16,8.86,69.47,15.35,4620416.02,2949.9,Saint-Laurent,48877,433.51,1422.75,5,5,17606.64,0,10.31236254,-408209.4076,182900.8091,54.12,219.66
101,9.38,2.74E-05,3.39E-21,34.36,0.09,0.01,19.95,39.2,17.29,4620521.05/4620521.01,3624.4,Dollard-des-Ormeaux,88479.37,582.54,1707.51,20,20,26808.04,73.74132569,9.727260165,-417273.8109,179970.4048,21.91,745.94
102,0.26,3.02E-05,0.00E+00,35.63,0.39,-0.2,0,98.59,11.67,4620601.02,10449.2,Saint-Léonard,39837,723.09,4879.23,5,5,5921.41,404.3497826,0,-396890.4106,188162.1316,86.92,729.83
103,13.29,2.65E-05,0.00E+00,31.83,0.41,0.14,10.31,21.53,10.88,4620470.03,2131.5,Kirkland,105679,481.03,2252.92,20,5,33495.04,0,6.765028566,-422375.6806,175486.4574,10.65,10.13
104,44.3,2.91E-05,0.00E+00,31.05,0.21,0.12,10.48,28.27,14.43,4620360,1349,Outremont,139132,838.72,3953.61,5,5,12252.48,134.7934708,6.29376327,-398656.417,181816.6917,13.84,386.71
105,29.87,2.75E-05,0.00E+00,32.13,0.25,0.13,14.45,28.5,11.36,4620433,233,Dorval,52476,580.89,1034.15,5,5,25238.17,0,19.52012013,-412652.1145,176311.1819,17.14,61.93
106,75.63,2.91E-05,0.00E+00,30.57,1.43,0.27,0,33.31,10.96,4620128,1162.2,Ville-Marie,49617,342.47,2611.07,5,5,12041.19,0,62.16715922,-397361.0612,181461.6964,22.35,0
107,47.14,3.17E-05,0.00E+00,32.98,0.27,0.1,13.41,32.88,14.34,4620285,4348.7,Ahuntsic-Cartierville,43144,313.44,251.95,5,5,15486.05,0,13.13945733,-407061.8888,184966.4949,18.54,66.27
108,19.98,3.02E-05,0.00E+00,35.2,0.22,-0.02,28.02,56.67,16.5,4620254,6630.3,Villeray-Saint-Michel-Parc-Extension,34000,42.58,5006.61,5,5,6572.03,284.9700917,0.058640426,-397640.0175,187867.0482,40.17,451.89
109,23.99,3.96E-05,0.00E+00,33.61,0.24,-0.01,18.62,63.22,12.59,4620591.02,6066.5,Anjou,45874,855.5,3205.26,15,5,977.03,0,2.512843446,-393889.0066,192111.578,50.63,0
110,10.31,3.26E-05,2.03E-20,34.94,0.15,-0.09,16.15,76.39,9.74,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,5.52,447.95,15,10,4469.64,676.2728631,0,-391713.348,188066.9943,66.65,1046.01
111,19.78,2.67E-05,1.02E-20,33.25,0.32,0.09,14.36,26.54,11.54,4620514.01,3494.8,Pierrefonds-Roxborro,52163,1186.37,1001.9,20,20,28600.75,155.8878314,6.750385706,-419012.8996,179402.0437,15,415.78
112,0.17,3.86E-05,1.36E-20,39.09,0.17,-0.18,0,94,58.64,4620585.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,37647,591.29,1897.06,20,15,1086.23,314.7551717,0,-390684.0111,197006.7603,35.36,335.67
113,8.79,2.91E-05,0.00E+00,32.24,0.43,-0.11,0,77.07,55.47,4620129.01,13484.5,Ville-Marie,38921,892.76,2262.16,10,10,12788.77,28.77679009,16.97069537,-397195.4835,180604.413,21.6,653.85
114,0.4,2.66E-05,1.02E-20,33.26,0.36,-0.23,0,95.49,58.38,4620452,2306.8,Pointe-Claire,52307,176.15,3014.62,20,20,28621.38,353.6430167,0,-417429.193,176854.1577,37.11,1483.15
