fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
229,0.03,2.25E-05,41.26,-0.3,0,100.02,71.88,49983,220.98,20,20,24471.28,420.2260689,0.4384237,0.55
74,11.12,2.24E-05,34.56,-0.06,12.51,47.38,24.52,50059,78.47,20,20,23095.61,265.318696,1.424081072,0.52
64,14.39,2.50E-05,35.23,-0.07,0,69.87,27.64,50651,90.92,20,20,24250.84,29.48131587,3.146142472,0.61
65,23.36,2.97E-05,34.94,-0.06,27.03,69.16,29.13,50895,469.68,10,5,11793.29,149.2556178,3.640741105,0.35
176,23.36,2.97E-05,34.94,-0.06,27.03,69.16,29.13,50895,469.68,10,5,11793.29,149.2556178,3.640741105,0.35
111,19.78,2.67E-05,33.25,0.09,14.36,26.54,11.54,52163,1186.37,20,20,28600.75,155.8878314,6.750385706,0.76
114,0.4,2.66E-05,33.26,-0.23,0,95.49,58.38,52307,176.15,20,20,28621.38,353.6430167,0,0.76
232,0,2.66E-05,37.66,-0.23,0,100,86.63,52307,177.28,20,20,28269.3,209.804309,1.109108519,0.75
81,66.45,2.70E-05,29.97,0.28,0.91,47.6,7.67,52307,616.85,20,20,28968.58,207.8242307,2.088111847,0.78
134,2.44,2.75E-05,36.39,-0.16,1.46,86.12,48.04,52307,75.61,20,20,27944.6,472.4802251,0,0.77
129,2.23,2.92E-05,36.89,-0.17,15.06,99.44,52.5,52436,449.74,5,5,8165.73,0,15.32878395,0.24
160,0,2.42E-05,36.26,-0.17,0,100,37.89,52476,323.59,30,30,21854.53,2002.648369,0,0.53
44,0,2.71E-05,35.82,0.03,0,3.46,3.46,52476,1116.45,30,30,22337.72,2156.078352,0,0.61
45,5.14,2.75E-05,40.82,-0.18,0,64.85,50.45,52476,683.98,30,30,21907.42,2495.269799,0,0.60
90,40.96,2.75E-05,35.48,-0.14,0,97.9,0.23,52476,131.53,10,10,23129.81,771.4021201,0,0.64
105,29.87,2.75E-05,32.13,0.13,14.45,28.5,11.36,52476,580.89,5,5,25238.17,0,19.52012013,0.69
115,0.49,2.75E-05,37.81,-0.17,4.35,88.86,58.95,52476,59.93,10,10,22541.78,344.1387369,0,0.62
175,10.68,2.75E-05,35.75,-0.07,10.48,64.99,31.21,52476,685.15,25,25,23949.09,1300.695072,0,0.66
241,0.15,2.75E-05,39.31,-0.23,0,96.48,84.74,52476,188.48,15,15,22880.68,532.4961298,0,0.63
180,0,2.78E-05,39.17,-0.22,0,90.94,90.94,52476,327.47,25,25,21247.86,2395.628939,0,0.59
8,26.88,3.16E-05,33.3,0.06,11.81,47.42,8.67,53821.67,381.39,5,5,16490.47,0,9.913941317,0.52
43,79.52,2.75E-05,28.56,0.34,1.01,4.61,3.57,55225,397.85,5,5,22410.37,0,46.30580383,0.62
26,21.84,2.91E-05,36.03,-0.07,4.46,96.78,90.96,56918,283.56,25,10,12272.84,327.0078832,0.765992929,0.36
66,13.97,2.10E-05,36.2,-0.13,14.71,75.37,41.49,57358,608.87,15,15,15866.81,244.8373243,1.078662756,0.33
84,40.69,2.91E-05,32.34,0.03,1.34,32.92,16.23,57358,503.81,5,5,15567.59,57.90519292,7.863769156,0.45
71,4.89,2.10E-05,33.31,-0.08,3.44,56.82,22.42,58729.23,2109.89,15,15,18157.45,94.65699027,6.801107707,0.38
7,22.93,3.16E-05,32.26,0.02,14.44,38.78,20.77,59107,963.66,5,5,17108.29,0,23.20910616,0.54
127,0.32,2.10E-05,39.05,-0.18,0.01,96.95,54.76,59971,488.12,15,15,17724.48,731.4297985,0,0.37
16,0.67,2.23E-05,40.05,-0.19,4.61,98.87,66.42,59971,685.42,25,20,16770.1,1022.070348,0,0.37
35,0.03,2.23E-05,40.53,-0.17,0,100.02,96.91,59971,466.98,10,10,16298.63,752.178238,0,0.36
174,5.43,2.23E-05,38.01,-0.1,8.5,96.34,32.18,59971,231.72,15,10,16111.17,435.1922314,0,0.36
249,2.14,2.23E-05,38.73,-0.18,3.65,97.7,82.32,59971,672.23,15,10,16585.34,867.0936889,0,0.37
15,1.11,3.05E-05,39.31,-0.14,0,98.29,51.47,59971,171.38,25,20,16990.12,785.2406052,0,0.52
48,0,3.05E-05,39.28,-0.21,0,100.02,96.1,59971,176.76,25,20,16657.86,757.935271,0,0.51
120,0,3.05E-05,37.56,-0.16,0,100.02,59.11,59971,509.79,20,20,17061.86,908.9387902,0,0.52
218,0.26,3.17E-05,36.63,-0.18,0.06,100,77.81,59971,85.43,20,10,15828.58,586.9732443,0,0.50
40,37.11,2.92E-05,31.05,0.17,0,3.92,3.92,60868,1985.49,20,20,31807.05,1092.171895,0,0.93
41,9.96,2.92E-05,29.94,0.15,0,21.88,9.01,60868,1128.06,20,20,30609.57,914.1075774,0,0.89
68,15.41,2.10E-05,36.46,-0.08,0.3,74.96,29.3,65187,2135.63,15,15,18965.72,485.3412276,1.98E-07,0.40
178,15.41,2.10E-05,36.46,-0.08,0.3,74.96,29.3,65187,2135.63,15,15,18965.72,485.3412276,1.98E-07,0.40
62,7.68,2.75E-05,36.92,-0.14,10.26,80.13,25.82,65941.42,46.86,15,15,26370.31,41.5882269,5.114459638,0.73
42,22.84,2.75E-05,33.69,0.08,17.95,37.46,16.32,66088,608.75,5,5,28029.09,46.63326025,4.945175846,0.77
148,3.61,2.75E-05,35.34,-0.11,16.22,63.32,41.14,66088,38.94,20,20,24646.79,903.3823717,0,0.68
220,0.46,2.75E-05,38.05,-0.22,0,97.51,78.3,66088,233.89,20,20,26133.77,401.3315281,0,0.72
237,0,2.75E-05,38.22,-0.28,0,100,81.31,66088,186.61,20,20,26394.12,314.863714,0,0.73
95,12.86,2.65E-05,33.86,0.06,14.14,29.69,15.09,67222,861.1,20,20,31191.5,66.55428805,9.038451072,0.83
69,28.67,2.91E-05,33.64,0.02,20.14,49.91,24.63,67227,737.03,10,5,12061.53,253.0422602,1.13753121,0.35
