fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,REDNO2_mean,petrochem_distance
80,20.04575194,2.91E-05,0,34.15154719,0.392467524,0.007755647,18.61589568,99.98582298,22.31547524,2.91E-05,7386.66
81,66.45358716,2.70E-05,6.78E-21,29.96750498,0.400546573,0.276036327,0.909182237,47.60367147,7.669056273,2.70E-05,28968.58
82,15.73482198,2.10E-05,0,33.83370614,0.189961198,0.138133997,8.197099583,45.06669567,8.634370771,2.10E-05,19874.83
83,72.1188177,3.78E-05,0,29.64430332,0.926216842,0.247397454,5.018470183,11.80694022,6.60105829,NA,2309.01
84,40.68776763,2.91E-05,3.39E-21,32.34326899,0.851906018,0.032212166,1.339600674,32.92086009,16.23484962,2.91E-05,15567.59
85,10.31458052,3.26E-05,2.03E-20,34.93811488,0.146436806,-0.092276112,16.15210557,76.38758993,9.738463305,NA,4469.64
86,99.36009249,2.28E-05,0,24.96074796,0.128375341,0.423691457,0,0,0,2.28E-05,38424.75
87,0.367869619,2.11E-05,5.40E-08,35.34590244,0.093168688,-0.196013935,0.673270811,99.99806782,0,2.11E-05,16951.76
88,8.766447823,3.02E-05,0,35.71749926,1.095359557,-0.009200569,0,50.55110015,2.575100667,NA,2997.68
89,1.429838418,2.82E-05,0,31.90452886,0.787311956,0.162792872,11.82740128,18.1228549,0,2.82E-05,19239.72
90,40.9555888,2.75E-05,0,35.48215318,0.580413336,-0.140693834,0,97.90197179,0.229034813,2.75E-05,23129.81
91,23.13172659,2.65E-05,0,32.30872226,0.302215838,0.085087483,18.4540237,43.24446096,0.714841836,2.65E-05,32932.11
92,19.98259931,2.10E-05,0,33.44546032,0.462170012,0.030389489,18.9831223,42.03356076,17.42143948,2.10E-05,18777.9
93,4.26133505,2.65E-05,0,35.55856061,0.205709934,-0.182338732,6.676554264,95.42197982,18.8151129,2.65E-05,29467.52
94,9.286703533,3.17E-05,6.78E-21,34.38240743,0.315497167,-0.070509838,35.71008197,72.90548125,15.45701702,3.17E-05,11359.74
95,12.86019299,2.65E-05,0,33.85632086,0.153105636,0.064113853,14.13719002,29.69018111,15.0879976,2.65E-05,31191.5
96,37.75096097,2.10E-05,0,33.12112594,0.134531641,0.085357152,9.127139857,33.62119047,19.68408261,2.10E-05,20009.41
97,29.84292725,2.92E-05,6.78E-21,32.19509184,1.028660294,0.065955277,14.02617581,37.74783287,15.21295268,2.92E-05,29434.87
98,40.21150518,2.65E-05,0,31.54047716,0.336917658,0.106798115,16.03185657,35.15904129,18.3221218,2.65E-05,33218.14
99,30.82524379,3.03E-05,6.78E-21,33.19087434,0.219480143,0.028033718,23.57877802,64.14232783,24.43946935,3.03E-05,15261.85
100,36.52829774,3.17E-05,0,32.77366769,0.868571389,0.156593299,8.85618619,69.46831315,15.34563297,3.17E-05,17606.64
101,9.376345304,2.74E-05,3.39E-21,34.36143231,0.092568783,0.00727704,19.94642221,39.19881441,17.28828731,2.74E-05,26808.04
102,0.25681597,3.02E-05,0,35.63338304,0.386982464,-0.19562744,0,98.58956865,11.67471518,NA,5921.41
103,13.29040339,2.65E-05,0,31.82953298,0.414530396,0.14495221,10.30613526,21.52837144,10.88216841,2.65E-05,33495.04
104,44.3039383,2.91E-05,0,31.05024576,0.211123021,0.120961857,10.48080007,28.27039648,14.43018764,2.91E-05,12252.48
105,29.87172651,2.75E-05,0,32.13059163,0.25200443,0.126513749,14.45003127,28.49751604,11.36152795,2.75E-05,25238.17
106,75.62888284,2.91E-05,0,30.57381821,1.428099733,0.27018747,0,33.3097475,10.95980231,2.91E-05,12041.19
107,47.14067508,3.17E-05,0,32.97786164,0.268336583,0.099174222,13.4092733,32.87770581,14.33931607,3.17E-05,15486.05
108,19.98298135,3.02E-05,0,35.20461226,0.217875221,-0.023210492,28.02059594,56.67281789,16.49862684,NA,6572.03
109,23.98834788,3.96E-05,0,33.61051607,0.240994757,-0.014331073,18.61595747,63.2192918,12.59110621,NA,977.03
110,10.31458052,3.26E-05,2.03E-20,34.93811488,0.146436806,-0.092276112,16.15210557,76.38758993,9.738463305,NA,4469.64
111,19.77970773,2.67E-05,1.02E-20,33.24876809,0.319166708,0.087989404,14.35937378,26.53950959,11.54163296,2.67E-05,28600.75
112,0.166588338,3.86E-05,1.36E-20,39.08850789,0.171609687,-0.181027845,0,93.99746958,58.63909489,NA,1086.23
113,8.787288092,2.91E-05,0,32.23611569,0.433448051,-0.106530127,0,77.07270693,55.47235895,2.91E-05,12788.77
114,0.402537612,2.66E-05,1.02E-20,33.25950575,0.358843555,-0.227078807,0,95.49163797,58.38183433,2.66E-05,28621.38
115,0.492772716,2.75E-05,0,37.81225634,0.87926274,-0.173949576,4.35166891,88.85871939,58.95227388,2.75E-05,22541.78
116,0.527518386,3.78E-05,2.71E-20,38.33236504,0.670232875,-0.197267622,0,99.98555727,58.56148189,NA,1535.92
117,4.789395269,3.95E-05,1.52E-07,36.06642556,0.723817486,-0.140112231,11.70972438,89.8740434,55.84851353,NA,3676.26
118,0.263734705,2.75E-05,0,36.67865634,0.495395994,-0.194110413,2.783095173,93.77850869,55.17607638,2.75E-05,24597.44
119,4.386663212,2.82E-05,0,39.83646274,0.706008472,-0.180397181,0.069409228,87.95537378,59.66417243,2.82E-05,20409.89
120,0,3.05E-05,3.39E-21,37.55733752,1.335658094,-0.155406177,0,100.0228108,59.10722759,3.05E-05,17061.86
121,8.731765946,2.91E-05,0,37.30851316,0.286103534,-0.131620925,14.32620422,81.68851623,56.08320258,2.91E-05,11135.09
122,0.249872893,2.93E-05,6.78E-21,39.67063117,0.532256179,-0.198627609,0,99.9699798,51.88332979,NA,4335.88
123,3.636870783,3.17E-05,0,37.08805537,1.05134063,-0.131994235,5.684345747,77.18633584,51.40897308,3.17E-05,18594.86
124,1.089736898,3.91E-05,6.78E-21,37.30870962,0.554326588,-0.146036743,0,100.0128596,50.30142228,NA,1865.14
125,3.095400624,2.74E-05,6.78E-21,37.63362026,0.486624675,-0.148067106,0,69.63957369,51.35866507,2.74E-05,24826.5
126,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.131331496,12.8683637,89.67597574,49.33566839,NA,8002.48
127,0.319272639,2.10E-05,0,39.04712462,0.27986484,-0.17894353,0.013881419,96.95477166,54.76219833,2.10E-05,17724.48
128,8.946959893,2.91E-05,0,37.25749302,0.489561812,-0.148155046,15.17304447,84.54148293,51.67580792,2.91E-05,11365.98
129,2.228072552,2.92E-05,1.02E-20,36.89206958,0.382774282,-0.168697289,15.0620481,99.44422261,52.50199622,2.92E-05,8165.73
130,0.041643633,2.25E-05,0,39.20735431,0.54912507,-0.201512659,0,100.0280059,52.38769001,2.25E-05,22184.07
131,6.45513377,3.02E-05,3.39E-21,37.81214595,0.829941504,-0.168783034,11.04313745,85.52705195,49.28806979,3.02E-05,16789.8
132,9.634063194,2.91E-05,0,34.14368534,0.639137751,-0.121586321,0.471985805,95.6187713,54.81976305,2.91E-05,14418.09
133,0.069407736,3.17E-05,0,36.5013392,0.202052878,-0.197267531,28.92914438,92.187355,50.34143095,3.17E-05,12103.67
134,2.436051867,2.75E-05,2.52E-08,36.39063191,0.423908699,-0.161785122,1.457466929,86.12241487,48.04088611,2.75E-05,27944.6
135,8.412463804,2.86E-05,3.06E-07,35.08417964,1.450749293,-0.162558259,0.013881953,86.74138627,46.01867576,2.86E-05,16466.32
136,1.978236541,3.96E-05,0,33.78427958,1.047304079,-0.176556036,0,98.60641509,47.88720665,NA,3387.38
137,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.131331496,12.8683637,89.67597574,49.33566839,NA,8002.48
138,9.627041389,2.91E-05,0,32.12559271,0.790931272,-0.113126156,6.899263981,95.93030933,45.56707045,2.91E-05,12662.59
139,3.706052224,2.65E-05,0,35.66367745,0.819649428,-0.184438135,0,92.74846802,48.65755083,2.65E-05,32967.59
140,1.159114967,2.10E-05,1.35E-08,35.63241291,0.517418842,-0.143507764,11.38986624,77.34142564,45.42064878,2.10E-05,21027.9
141,0.388645555,2.65E-05,0,34.22314548,0.553798974,-0.103479694,3.588031285,81.78212895,48.78195726,2.65E-05,35632.81
142,0,3.87E-05,4.97E-07,37.1638999,0.406411887,-0.187593912,0,99.97894857,47.76833685,NA,710.29
143,15.49204019,2.17E-05,0,34.90068007,0.551721842,-0.074337733,5.254244815,69.08950183,45.08794494,2.17E-05,14320.61
144,6.45513377,3.02E-05,3.39E-21,37.81214595,0.829941504,-0.168783034,11.04313745,85.52705195,49.28806979,3.02E-05,16789.8
145,0.062467825,3.02E-05,0,38.8451457,0.645166981,-0.176871124,10.09202424,100.0109885,49.1205334,NA,5678.22
146,0,3.02E-05,0,38.98471093,0.412128908,-0.202989928,0.957858558,98.60390348,39.93853728,NA,3404.02
147,1.443555164,2.92E-05,3.39E-21,33.41267991,0.859651632,-0.107602058,0,99.95231474,39.2258355,2.92E-05,31596.84
148,3.609017247,2.75E-05,0,35.34332085,0.218776967,-0.109989909,16.21975636,63.32437186,41.1358562,2.75E-05,24646.79
149,0.680188425,2.65E-05,0,34.01689768,0.714761289,-0.025016216,8.287193664,94.13668984,41.24162877,2.65E-05,35157.22
150,27.79870313,2.91E-05,0,35.31416106,0.280886972,-0.011776498,18.19930078,70.35397127,40.2022693,2.91E-05,10261.93
151,0.242932137,2.21E-05,0,38.41552091,0.349047515,-0.179234343,17.67851868,99.99780866,44.81056797,NA,3803.55
152,0.013881863,2.10E-05,0,37.30792403,0.701553329,-0.11564914,9.967177861,76.66259016,41.47206666,2.10E-05,16522.09
153,11.29973537,3.02E-05,0,36.27892232,0.317242056,-0.103544434,24.09869854,70.36653393,39.80588598,3.02E-05,10185.74
154,2.866632741,3.91E-05,1.36E-20,38.43096089,0.524426627,-0.086044906,9.210706168,99.99897797,43.00643212,NA,1665.73
155,5.691021611,2.65E-05,0,35.75462437,0.479521914,-0.110279325,13.63763106,78.01557797,40.08700101,2.65E-05,29911.87
156,10.59172653,2.82E-05,0,36.97212911,0.166392393,-0.103410828,16.13746015,77.38345942,35.06513921,2.82E-05,22272.74
157,0,3.02E-05,0,38.98471093,0.412128908,-0.202989928,0.957858558,98.60390348,39.93853728,NA,3404.02
158,1.443555164,2.92E-05,3.39E-21,33.41267991,0.859651632,-0.107602058,0,99.95231474,39.2258355,2.92E-05,31596.84
159,0.589954967,2.16E-05,0,37.54495549,0.420208933,-0.177886248,3.456442042,98.00193099,39.92259965,2.16E-05,21525.84
160,0,2.42E-05,0,36.26480675,0.620978083,-0.168188304,0,99.99994627,37.8886526,2.42E-05,21854.53
161,5.260807463,2.75E-05,0,38.03354239,0.445144715,-0.165012267,18.57939522,77.90575696,36.76318883,2.75E-05,25086.16
162,20.86485129,2.91E-05,0,35.66002131,0.131427541,-0.071265993,18.5187702,67.32836243,35.21898051,2.91E-05,9290.94
163,18.62267749,2.91E-05,0,35.6423521,0.672545763,-0.079906822,2.248880919,91.10744117,38.84178278,2.91E-05,15688.4
164,8.280368551,3.16E-05,6.78E-21,36.77537417,0.218434368,-0.117971323,15.40162432,68.41541728,36.15460166,3.16E-05,11822.4
165,8.939862559,2.21E-05,0,37.3167181,0.716770688,-0.108095157,30.06098194,97.63051766,35.27358814,NA,4652.56
166,13.81895289,2.10E-05,2.92E-08,35.08487415,0.5060198,-0.061556116,12.23647109,56.41408794,29.72011867,2.10E-05,22850.57
167,23.21767366,2.91E-05,0,35.30712867,0.241557172,-0.040588448,24.5503473,74.21326359,36.46805901,2.91E-05,9620.05
168,5.580455422,3.02E-05,0,37.29666543,0.171059434,-0.059258639,15.08249954,98.74074481,31.42129564,3.02E-05,11293.69
