fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%
109,23.99,3.96E-05,0.00E+00,33.61,0.24,-0.01,18.62,63.22,12.59,4620591.02,Anjou,45874,855.5,3205.26,15,5,977.03,0,2.512843446
110,10.31,3.26E-05,2.03E-20,34.94,0.15,-0.09,16.15,76.39,9.74,4620009,Mercier-Hochelaga-Maisonneuve,38773,5.52,447.95,15,10,4469.64,676.2728631,0
111,19.78,2.67E-05,1.02E-20,33.25,0.32,0.09,14.36,26.54,11.54,4620514.01,Pierrefonds-Roxborro,52163,1186.37,1001.9,20,20,28600.75,155.8878314,6.750385706
112,0.17,3.86E-05,1.36E-20,39.09,0.17,-0.18,0,94,58.64,4620585.02,Rivière-des-Prairies-Pointes-aux-Trembles,37647,591.29,1897.06,20,15,1086.23,314.7551717,0
113,8.79,2.91E-05,0.00E+00,32.24,0.43,-0.11,0,77.07,55.47,4620129.01,Ville-Marie,38921,892.76,2262.16,10,10,12788.77,28.77679009,16.97069537
114,0.4,2.66E-05,1.02E-20,33.26,0.36,-0.23,0,95.49,58.38,4620452,Pointe-Claire,52307,176.15,3014.62,20,20,28621.38,353.6430167,0
115,0.49,2.75E-05,0.00E+00,37.81,0.88,-0.17,4.35,88.86,58.95,4620433,Dorval,52476,59.93,2273.88,10,10,22541.78,344.1387369,0
116,0.53,3.78E-05,2.71E-20,38.33,0.67,-0.2,0,99.99,58.56,4620570,Montréal-Est,38802,149.28,2541.75,10,10,1535.92,292.1435089,0.097352516
117,4.79,3.95E-05,1.52E-07,36.07,0.72,-0.14,11.71,89.87,55.85,4620009,Mercier-Hochelaga-Maisonneuve,38773,260.07,1251.41,15,5,3676.26,146.6626379,2.276224811
118,0.26,2.75E-05,0.00E+00,36.68,0.5,-0.19,2.78,93.78,55.18,4620521.07,Dollard-des-Ormeaux,83222,303.02,2825.32,20,20,24597.44,364.6402577,0.087959255
119,4.39,2.82E-05,0.00E+00,39.84,0.71,-0.18,0.07,87.96,59.66,4620325.06,LaSalle,42456,663.78,1259.05,15,15,20409.89,125.7692896,18.29465363
120,0,3.05E-05,3.39E-21,37.56,1.34,-0.16,0,100.02,59.11,4620402,Mont-Royal,59971,509.79,5908.89,20,20,17061.86,908.9387902,0
121,8.73,2.91E-05,0.00E+00,37.31,0.29,-0.13,14.33,81.69,56.08,4620136,Le Plateau-Mont-Royal,39902,109.52,2555.71,10,10,11135.09,266.3432023,2.718766144
122,0.25,2.93E-05,6.78E-21,39.67,0.53,-0.2,0,99.97,51.88,4620605.04,Saint-Léonard,42437,740.76,2786.37,15,15,4335.88,351.8729215,0.088189607
123,3.64,3.17E-05,0.00E+00,37.09,1.05,-0.13,5.68,77.19,51.41,4620415.05,Saint-Laurent,84543,949.18,2625.94,5,5,18594.86,34.33735497,17.53445422
124,1.09,3.91E-05,6.78E-21,37.31,0.55,-0.15,0,100.01,50.3,4620594.02,Anjou,47581,311.04,3793.79,20,15,1865.14,661.5130689,0
125,3.1,2.74E-05,6.78E-21,37.63,0.49,-0.15,0,69.64,51.36,4620521.06,Dollard-des-Ormeaux,68640,506.96,2392.9,20,20,24826.5,106.2188965,20.93954651
126,8.3,3.02E-05,0.00E+00,38.56,1.14,-0.13,12.87,89.68,49.34,4620256,Villeray-Saint-Michel-Parc-Extension,33595,253.11,3153.42,5,5,8002.48,0,39.47133323
127,0.32,2.10E-05,0.00E+00,39.05,0.28,-0.18,0.01,96.95,54.76,4620402,Mont-Royal,59971,488.12,5948.33,15,15,17724.48,731.4297985,0
128,8.95,2.91E-05,0.00E+00,37.26,0.49,-0.15,15.17,84.54,51.68,4620132/4620133,Le Plateau-Mont-Royal,32872.52,54.96,1979.93,10,5,11365.98,185.0405172,3.177354923
