fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS,GS_500,Households,Backyards,BY_Ratio,GS_1000,GS_800,GS_300,Testing,%yard,yard_area
81,66.45,2.70E-05,6.78E-21,29.97,0.4,0.28,0.91,47.6,7.67,4620452,2306.8,Pointe-Claire,52307,616.85,1681.17,20,20,28968.58,207.8242307,2.088111847,-416936.5109,175606.7567,39.93,303.66,4.68311108,12,12,1,4.690250038,4.776,2.088111847,Training,0.501854714,7231
97,29.84,2.92E-05,6.78E-21,32.2,1.03,0.07,14.03,37.75,15.21,4620540,4215.1,L'Île-Bizard-Sainte-Geneviève,34702,1195.33,127.18,20,20,29434.87,121.6933069,2.347171358,-420079.4906,179616.8847,22.54,304.72,1.677190366,28,4,0.142857143,1.011199988,1.215,2.347171358,Training,0.617817996,8902
58,9.8,3.02E-05,0.00E+00,35.56,0.18,-0.05,17.91,50.53,28.4,4620605.03,5735.5,Saint-Léonard,33633,1242.75,3728.06,15,15,4103.66,69.280481,11.20719313,-397474.9614,191103.3419,22.13,307.19,8.204731911,92,29,0.315217391,5.901399986,6.434,11.20719313,Training,0.444011975,6397
73,6.59,2.21E-05,6.78E-21,36.62,0.85,-0.06,24.47,54.6,22.6,4620611.02/4620611.01,9814,Montréal-Nord,39551.36,353.78,1678.07,15,15,5644.16,84.60465091,5.602668569,-399466.92,191760.7249,32,335.33,3.250179278,68,24,0.352941176,2.270099998,2.798,5.602668569,Training,0.408192274,5881
112,0.17,3.86E-05,1.36E-20,39.09,0.17,-0.18,0,94,58.64,4620585.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,37647,591.29,1897.06,20,15,1086.23,314.7551717,0,-390684.0111,197006.7603,35.36,335.67,1.305687839,0,0,NA,1.173050003,0.97,0,Training,0.060041213,865
132,9.63,2.91E-05,0.00E+00,34.14,0.64,-0.12,0.47,95.62,54.82,4620351,10811.3,Westmount,48088,406.23,2990.22,15,10,14418.09,246.8266086,1.925514487,-397811.214,179093.7431,40.8,337.37,2.58496938,0,0,NA,3.434300013,3.203,1.925514487,Training,0.043866916,632
191,0.39,3.01E-05,6.78E-21,39.31,0.5,-0.16,4.13,99.83,64.97,4620179,7668.7,Rosemont-La-Petite-Patrie,29683,1135.78,3504.94,10,5,8644.58,138.1086819,2.772593901,-397044.8408,185045.4659,34.86,338.53,2.196512039,0,0,NA,4.96440001,5.267,2.772593901,Training,0.000555278,8
188,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,10,10,5547.1,246.3313405,0.46706373,-393962.0762,187181.5787,0,346.09,1.964812269,0,0,NA,5.767900024,3.621,0.46706373,Training,0.99986357,14405
74,11.12,2.24E-05,0.00E+00,34.56,0.4,-0.06,12.51,52.74,24.52,4620396,4454.6,Lachine,50059,78.47,402.54,20,20,23095.61,265.318696,1.424081072,-406357.669,173829.025,28.22,346.46,8.018463721,52,20,0.384615385,6.719300063,6.715,1.424081072,Training,0.488207143,7034
53,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,5,5,5547.1,246.3313405,0.46706373,-393962.0762,187181.5787,0,347.07,1.964812269,0,0,NA,5.767900024,3.621,0.46706373,Training,0.99986357,14405
