fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean
200,0.4164697141,3.93E-05,2.03E-20,37.44481301,0.4467767539,-0.1622731014,0,0,100.0013195,65.29551001,6.25E-05,6.09E-05
201,2.2904567,3.17E-05,0,39.42828131,0.9348844624,-0.1720425897,730,5.066767851,99.93331988,68.91498355,6.64E-05,7.00E-05
202,3.033191076,3.02E-05,0,39.68689156,0.6685134537,-0.1666995411,2139,14.84667211,94.34126569,62.80857219,5.61E-05,6.75E-05
203,8.536864534,2.92E-05,6.78E-21,38.93695855,0.4363193349,-0.1493648991,0,0,81.59299143,61.20168412,5.15E-05,6.75E-05
204,0.02082225608,3.17E-05,0,38.65562153,0.3661097994,-0.1842287297,1595,11.07049948,100.009296,61.45341845,6.02E-05,6.86E-05
205,0,2.44E-05,3.39E-21,40.97002864,0.7006841536,-0.2135869505,0,0,99.96246421,64.66118015,5.38E-05,6.46E-05
206,3.387230065,2.91E-05,0,38.46388674,0.4186193192,-0.201919566,2022,14.03479343,95.83501129,61.94882855,7.20E-05,6.76E-05
207,0.09022164959,2.65E-05,0,36.1603303,0.523003674,-0.1288868589,0,0,99.99334826,63.14127446,3.34E-05,5.66E-05
208,4.386663212,2.82E-05,0,39.83646274,0.7060084722,-0.1803971806,10,0.06940922804,87.95537378,59.66417243,6.48E-05,5.78E-05
209,4.705505775,2.49E-05,0,38.82730985,0.9026077944,-0.1598703393,0,0,88.27334506,61.34508192,3.79E-05,6.84E-05
21,0,2.97E-05,3.39E-21,34.38530207,0.8330661286,-0.261745228,0,0,100.0346772,80.57192153,6.71E-05,6.38E-05
210,0.01388203522,3.95E-05,1.36E-20,38.40594697,0.5058965447,-0.1755892295,681,4.726832993,99.06914436,62.73985818,5.93E-05,6.20E-05
211,0.7496196591,3.02E-05,0,40.2317028,0.5400380545,-0.2115459912,1136,7.884888266,99.96316973,78.84888266,7.11E-05,6.76E-05
212,2.380685334,3.17E-05,6.78E-21,38.32053399,0.7068931,-0.1900724812,328,2.27657373,100.0026656,79.44409425,6.36E-05,6.88E-05
213,0.4789166523,2.10E-05,0,37.6957233,0.6366860983,-0.2106006263,0,0,100.0033496,75.30096754,6.74E-05,6.77E-05
214,0,3.10E-05,0,40.14209294,0.8758039653,-0.1952009954,0,0,100.0142554,75.12348434,6.43E-05,6.47E-05
215,0.2568181652,3.43E-05,2.03E-20,40.64170647,0.3902312375,-0.2252702939,0,0,100.0063818,76.33052333,6.33E-05,6.08E-05
216,0.05552716713,2.21E-05,4.69E-09,37.8415091,0.5093752598,-0.1777124002,31,0.2151677726,99.96278262,78.39047819,5.10E-05,6.29E-05
217,0,3.17E-05,0,39.3082242,0.8672870921,-0.2043769942,0,0,100.0003012,75.62488074,5.50E-05,6.95E-05
218,0.2568076676,3.17E-05,1.36E-20,36.62752557,0.09913847501,-0.1752675355,8,0.05552598218,100.0022939,77.80578252,6.76E-05,6.63E-05
219,0,2.11E-05,6.78E-21,37.16498995,1.167654154,-0.1820814186,0,0,99.98386321,79.54287208,5.74E-05,5.96E-05
22,0.4581145024,2.91E-05,0,36.00031686,0.4222654348,-0.232803426,486,3.373388608,97.29380272,80.8155629,5.53E-05,6.47E-05
220,0.4580642751,2.75E-05,0,38.05200934,0.3947313509,-0.2174454439,0,0,97.50522729,78.30122957,3.80E-05,7.25E-05
221,3.678698506,2.46E-05,3.39E-21,38.82342315,1.075829984,-0.1043858516,681,4.726780533,92.90448963,74.69146155,5.37E-05,6.66E-05
222,1.131280568,2.75E-05,0,37.88772273,0.7125093513,-0.2047809445,265,1.839198469,78.87038267,74.84496715,4.28E-05,7.23E-05
223,0.7010260335,3.02E-05,0,34.52543569,0.123957851,-0.1934316536,0,0,99.04595543,73.06634708,6.77E-05,6.93E-05
224,2.415200096,2.65E-05,0,35.89658499,0.6824389784,-0.1503177342,0,0,79.47951581,71.14429939,4.05E-05,6.42E-05
225,3.137267065,2.12E-05,1.02E-20,35.22078943,0.4703552003,-0.09865534593,766,5.316695956,87.87124126,70.25534787,6.42E-05,6.70E-05
226,0.3956336226,2.91E-05,0,36.68994927,0.4117829995,-0.202686134,1840,12.77133098,95.14641577,74.08760154,6.23E-05,6.64E-05
227,0.3331457441,2.92E-05,6.78E-21,39.85454822,0.4221047638,-0.1937852888,0,0,96.27217951,69.19714726,5.15E-05,6.75E-05
228,0.6524359784,2.10E-05,6.78E-21,40.5202899,0.7188203711,-0.1649010817,1281,8.891175408,91.18139839,71.30292347,5.04E-05,5.73E-05
229,0.02776216081,2.25E-05,0,41.26122141,0.7705651373,-0.297320545,0,0,100.0201248,71.88317486,4.94E-05,5.61E-05
23,0,3.96E-05,0,39.89212871,0.5651021671,-0.2127042393,0,0,100.0073138,85.9932406,6.15E-05,6.05E-05
230,0.09716143683,2.65E-05,6.78E-21,34.4697876,0.3045907058,-0.1898182894,10,0.06940102631,93.62198449,70.58084375,3.26E-05,5.51E-05
231,4.074340128,3.02E-05,0,37.02402043,0.4168227097,-0.2093174365,903,6.267681662,96.36820842,73.9766901,6.43E-05,6.54E-05
232,0,2.66E-05,1.02E-20,37.6645081,0.4224424474,-0.2326204726,0,0,99.99605753,86.62901097,3.67E-05,7.39E-05
233,0.01388163382,2.10E-05,0,39.40699029,0.6165643477,-0.2056743036,347,2.408463467,99.61460427,86.71162563,6.01E-05,5.86E-05
234,1.068895259,2.24E-05,1.36E-06,42.3040626,1.655989942,-0.1860692658,0,0,99.96947027,89.27357679,6.00E-05,5.89E-05
