fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean,Income,road distance (meters),river distance (meters),petrochem_distance,Distance_M,Lat,Long,Households
84,40.68776763,2.91E-05,3.39E-21,32.34326899,0.851906018,0.032212166,193,1.339600674,32.92086009,16.23484962,6.32E-05,6.16E-05,57358,503.81,3261.45,15567.59,57.90519292,-398733.3137,178212.0154,18
85,10.31458052,3.26E-05,2.03E-20,34.93811488,0.146436806,-0.092276112,2327,16.15210557,76.38758993,9.738463305,5.62E-05,6.10E-05,38773,5.52,447.95,4469.64,676.2728631,-391713.348,188066.9943,0
86,99.36009249,2.28E-05,0,24.96074796,0.128375341,0.423691457,0,0,0,0,2.77E-05,5.73E-05,70925,1058.65,649.55,38424.75,1445.434126,-427737.6726,174878.3171,2
87,0.367869619,2.11E-05,5.40E-08,35.34590244,0.093168688,-0.196013935,97,0.673270811,99.99806782,0,6.39E-05,5.89E-05,NA,0.73,3119.87,16951.76,400.2374528,-398859.8012,176778.6507,0
88,8.766447823,3.02E-05,0,35.71749926,1.095359557,-0.009200569,0,0,50.55110015,2.575100667,6.18E-05,6.72E-05,47581,785.4,4017.22,2997.68,0,-396574.1023,191746.3147,0
89,1.429838418,2.82E-05,0,31.90452886,0.787311957,0.162792872,1704,11.82740128,18.1228549,0,6.01E-05,5.89E-05,NA,130.75,1124.96,19239.72,121.58267,-398362.9858,174207.0367,12
90,40.9555888,2.75E-05,0,35.48215318,0.580413336,-0.140693834,0,0,97.90197179,0.229034813,4.59E-05,7.81E-05,52476,131.53,2736.4,23129.81,771.4021201,-412606.1121,179557.4317,0
91,23.13172659,2.65E-05,0,32.30872226,0.302215838,0.085087483,2659,18.4540237,43.24446096,0.714841836,3.87E-05,5.96E-05,94151,2.31,952.18,32932.11,54.97475291,-420696.68,174013.5861,7
92,19.98259931,2.10E-05,0,33.44546032,0.462170012,0.030389489,2735,18.9831223,42.03356076,17.42143948,6.43E-05,6.24E-05,44661,1254.67,4119.36,18777.9,51.44830415,-402274.3167,176357.5703,49
93,4.26133505,2.65E-05,0,35.55856061,0.205709934,-0.182338732,962,6.676554264,95.42197982,18.8151129,3.97E-05,7.30E-05,69796,121.54,2376.69,29467.52,509.5183067,-418080.55,176309.9068,0
94,9.286703533,3.17E-05,6.78E-21,34.38240743,0.315497168,-0.070509838,5145,35.71008197,72.90548125,15.45701702,6.17E-05,6.75E-05,40892,41.85,438.06,11359.74,41.96483037,-403499.9767,187059.8177,55
95,12.86019299,2.65E-05,0,33.85632086,0.153105636,0.064113853,2037,14.13719002,29.69018111,15.0879976,3.97E-05,6.19E-05,67222,861.1,1375.01,31191.5,66.55428805,-420769.9653,177270.3263,30
96,37.75096097,2.10E-05,0,33.12112594,0.134531641,0.085357152,1315,9.127139857,33.62119047,19.68408261,5.71E-05,5.84E-05,79279,964.44,2886.22,20009.41,191.2909181,-402967.6936,175335.3831,48
97,29.84292725,2.92E-05,6.78E-21,32.19509184,1.028660294,0.065955277,2021,14.02617581,37.74783287,15.21295268,4.06E-05,6.27E-05,34702,1195.33,127.18,29434.87,121.6933069,-420079.4906,179616.8847,28
98,40.21150518,2.65E-05,0,31.54047716,0.336917658,0.106798115,2310,16.03185657,35.15904129,18.3221218,3.71E-05,6.11E-05,111247,219.71,1248.99,33218.14,235.4307766,-421164.887,174175.4266,21
99,30.82524379,3.03E-05,6.78E-21,33.19087434,0.219480143,0.028033718,3397,23.57877802,64.14232783,24.43946935,6.66E-05,6.24E-05,28169,448.08,641.63,15261.85,45.6417146,-395533.4619,177568.8265,79
100,36.52829774,3.17E-05,0,32.77366769,0.868571389,0.156593299,1276,8.85618619,69.46831315,15.34563297,5.38E-05,6.77E-05,48877,433.51,1422.75,17606.64,0,-408209.4076,182900.8091,48
101,9.376345304,2.74E-05,3.39E-21,34.36143231,0.092568783,0.00727704,2874,19.94642221,39.19881441,17.28828731,3.66E-05,7.03E-05,88479.37,582.54,1707.51,26808.04,73.74132569,-417273.8109,179970.4048,20
102,0.25681597,3.02E-05,0,35.63338304,0.386982464,-0.19562744,0,0,98.58956865,11.67471518,6.31E-05,6.47E-05,39837,723.09,4879.23,5921.41,404.3497826,-396890.4106,188162.1316,7
103,13.29040339,2.65E-05,0,31.82953298,0.414530396,0.14495221,1485,10.30613526,21.52837144,10.88216841,3.65E-05,6.27E-05,105679,481.03,2252.92,33495.04,0,-422375.6806,175486.4574,15
104,44.3039383,2.91E-05,0,31.05024576,0.211123021,0.120961857,1510,10.48080007,28.27039648,14.43018764,6.19E-05,6.58E-05,139132,838.72,3953.61,12252.48,134.7934708,-398656.417,181816.6917,15
105,29.87172651,2.75E-05,0,32.13059163,0.25200443,0.126513749,2082,14.45003127,28.49751604,11.36152795,3.96E-05,7.62E-05,52476,580.89,1034.15,25238.17,0,-412652.1145,176311.1819,20
106,75.62888284,2.91E-05,0,30.57381821,1.428099733,0.27018747,0,0,33.3097475,10.95980231,6.59E-05,6.58E-05,49617,342.47,2611.07,12041.19,0,-397361.0612,181461.6964,13
107,47.14067508,3.17E-05,0,32.97786164,0.268336583,0.099174222,1932,13.4092733,32.87770581,14.33931607,5.04E-05,6.90E-05,43144,313.44,251.95,15486.05,0,-407061.8888,184966.4949,30
108,19.98298135,3.02E-05,0,35.20461226,0.217875221,-0.023210492,4037,28.02059594,56.67281789,16.49862684,6.77E-05,6.63E-05,34000,42.58,5006.61,6572.03,284.9700917,-397640.0175,187867.0482,74
109,23.98834788,3.96E-05,0,33.61051607,0.240994757,-0.014331073,2682,18.61595747,63.2192918,12.59110621,6.55E-05,6.03E-05,45874,855.5,3205.26,977.03,0,-393889.0066,192111.578,27
110,10.31458052,3.26E-05,2.03E-20,34.93811488,0.146436806,-0.092276112,2327,16.15210557,76.38758993,9.738463305,5.62E-05,6.10E-05,38773,5.52,447.95,4469.64,676.2728631,-391713.348,188066.9943,15
111,19.77970773,2.67E-05,1.02E-20,33.24876809,0.319166708,0.087989404,2069,14.35937378,26.53950959,11.54163296,4.11E-05,6.98E-05,52163,1186.37,1001.9,28600.75,155.8878314,-419012.8996,179402.0437,28
112,0.166588338,3.86E-05,1.36E-20,39.08850789,0.171609687,-0.181027845,0,0,93.99746958,58.63909489,5.28E-05,5.89E-05,37647,591.29,1897.06,1086.23,314.7551717,-390684.0111,197006.7603,0
113,8.787288092,2.91E-05,0,32.23611569,0.433448051,-0.106530127,0,0,77.07270693,55.47235895,6.72E-05,6.53E-05,38921,892.76,2262.16,12788.77,28.77679009,-397195.4835,180604.413,0
114,0.402537612,2.66E-05,1.02E-20,33.25950575,0.358843555,-0.227078807,0,0,95.49163797,58.38183433,3.67E-05,7.39E-05,52307,176.15,3014.62,28621.38,353.6430167,-417429.193,176854.1577,0
115,0.492772716,2.75E-05,0,37.81225634,0.87926274,-0.173949576,627,4.35166891,88.85871939,58.95227388,4.59E-05,7.81E-05,52476,59.93,2273.88,22541.78,344.1387369,-412204.7797,180003.4863,0
116,0.527518386,3.78E-05,2.71E-20,38.33236504,0.670232875,-0.197267622,0,0,99.98555727,58.56148189,5.39E-05,5.69E-05,38802,149.28,2541.75,1535.92,292.1435089,-394702.3385,195193.5329,0
